#p	count	tag	form

0.13	6	num	_
0.51	24	noun	_
0.04	2	postp	_
0.04	2	verb	_
0.28	13	punct	_
1.00	1	num	183
1.00	4	noun	p채ivy
1.00	2	punct	)
1.00	1	noun	Pi채sivu
1.00	2	num	1
1.00	2	noun	heinykuudu
1.00	2	verb	on
1.00	2	noun	p채ivi채
1.00	2	postp	mugah
1.00	2	noun	loppussah
1.00	1	noun	Kategouriet
1.00	2	noun	Vuvven
1.00	2	noun	elokuudu
1.00	1	noun	kalenderin
1.00	2	noun	kargavusvuon
1.00	2	punct	:
1.00	1	punct	-
1.00	2	noun	grigorianskoin
1.00	1	num	182
1.00	1	noun	kalenduaruan
1.00	2	noun	vuvven
0.11	1	num	.
0.89	8	punct	.
1.00	1	num	152
